cnum,vin,type,date,lng,lat
苏A320JE,LFV2B2F30P7753022,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:26,25.1561,99.17965
苏AR7957,LFV2B2F30P7753182,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:23,37.45645,105.00851
粤BL8D22,LFV2B2F30R7500933,奥迪Q3（深牌）/自动/SUV/1.5T,2024/11/15 11:29,24.68025,118.29106
苏AY37S6,LFV2B2F30R7501340,奥迪Q3/自动/SUV/1.5T,2024/11/15 9:40,36.26203,103.57156
苏A5WG16,LFV2B2F30R7501368,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:18,38.83787,105.68041
京N9NR09,LFV2B2F30R7505694,奥迪Q3（京牌）/自动/SUV/1.5T,2024/11/15 9:43,39.88245,116.45667
苏AV05G6,LFV2B2F30R7505758,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:20,18.40705,109.8503
苏A35F71,LFV2B2F30R7505792,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:25,31.4507,110.26652
苏AJ53V8,LFV2B2F30R7505842,奥迪Q3/自动/SUV/1.5T,2024/11/15 9:47,18.22459972,109.52358
京Q38ZU1,LFV2B2F30R7506828,奥迪Q3（京牌）/自动/SUV/1.5T,2024/11/15 11:21,39.88527,116.45654
苏AX90V7,LFV2B2F30R7507204,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:16,21.4072,109.15325
苏AA0979,LFV2B2F30R7507221,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:31,23.85939,113.53222
粤B3X855,LFV2B2F30R7507252,奥迪Q3（深牌）/自动/SUV/1.5T,2024/11/15 11:29,22.55489,113.88522
鄂W057J0,LFV2B2F31P7753028,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:14,29.84228,111.75486
苏A49W6N,LFV2B2F31R7500682,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:29,36.68907,101.74617
苏AY75A2,LFV2B2F31R7501492,奥迪Q3/自动/SUV/1.5T,2024/11/15 9:32,39.46038,76.05514
苏AW01G7,LFV2B2F31R7507213,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:09,19.94473,110.45805
苏A012JG,LFV2B2F31R7507230,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:38,18.41728,109.94897
苏AF67C1,LFV2B2F32P7753023,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:30,38.47956,106.2129
苏A183JX,LFV2B2F32P7753071,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:36,36.59049,101.79309
苏AX77W1,LFV2B2F32R7500352,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:20,30.64702,104.04448
苏A033JK,LFV2B2F32R7501047,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:16,34.17490972,108.86803
苏AR225D,LFV2B2F32R7501470,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:01,36.55357972,104.16036
浙A670UT,LFV2B2F32R7505700,奥迪Q3（浙A牌）/自动/SUV/1.5T,2024/11/15 9:30,30.14699,120.10994
苏AX50H3,LFV2B2F32R7505728,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:29,24.30489,116.43237
苏A55S17,LFV2B2F33R7501042,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:28,22.99356,115.37827
苏AX66R5,LFV2B2F33R7501350,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:13,36.57745,101.82814
苏AX92C7,LFV2B2F33R7505818,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:29,37.3833,94.91087
苏AZ69V2,LFV2B2F33R7506824,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:20,23.61197,116.72773
苏AZ07T2,LFV2B2F33R7507004,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:54,37.76381,112.60683
苏AKB131,LFV2B2F33R7507021,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:28,28.61381,115.84737
苏AW79H7,LFV2B2F33R7507228,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:23,29.98702,109.4798
苏AW00K7,LFV2B2F33R7507262,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:07,40.16234,94.76638
苏AX69E1,LFV2B2F33R7507276,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:22,31.22131,121.45519
苏A0XA26,LFV2B2F34P7752987,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:28,30.63758,119.45118
苏AX97U9,LFV2B2F34R7500479,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:26,21.45734,109.12029
苏AY92F3,LFV2B2F34R7500661,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:57,37.509,104.9671
苏A29G6L,LFV2B2F34R7501048,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:57,39.46657,75.99471
苏A0PX78,LFV2B2F34R7501244,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:27,26.3227,99.85143
苏A752JV,LFV2B2F34R7501373,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:29,37.21071,98.92086
苏AW76V7,LFV2B2F35P7753047,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:28,37.42838,122.14682
苏A783JD,LFV2B2F35P7753114,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:23,37.77454,75.20673
苏AV57H0,LFV2B2F35P7753159,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:15,39.72816,98.49754
苏AX05P9,LFV2B2F35R7500801,奥迪Q3/自动/SUV/1.5T,2024/11/15 9:50,39.45262,76.02666
苏A76C31,LFV2B2F35R7501351,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:29,28.83056,118.68553
苏AD92T5,LFV2B2F35R7501379,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:29,39.31028,116.11178
苏A6KN25,LFV2B2F35R7501396,奥迪Q3/自动/SUV/1.5T,2024/10/31 12:31,29.92069,101.58914
苏AV35L1,LFV2B2F35R7507019,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:36,22.17285,113.52041
沪GHS030,LFV2B2F35R7507182,奥迪Q3（沪牌）/自动/SUV/1.5T,2024/11/15 11:20,31.24275,121.50685
鄂W981R9,LFV2B2F36P7753087,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:30,30.02133,100.80727
苏AW35R6,LFV2B2F36R7500435,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:10,30.58965,104.05109
津G7M009,LFV2B2F36R7505781,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:29,39.14193,117.27534
京KQV838,LFV2B2F36R7507076,奥迪Q3（京牌）/自动/SUV/1.5T,2024/11/15 11:29,39.89914,116.0165
苏A966JT,LFV2B2F36R7507224,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:30,27.80791,106.9749
苏AW17R0,LFV2B2F37R7501156,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:09,27.804,99.90462
苏AD7185,LFV2B2F37R7501240,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:30,29.29666,117.21954
苏AV68C7,LFV2B2F38P7753110,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:30,37.76837,105.15512
苏AU31R9,LFV2B2F38R7501201,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:28,21.45736,109.12032
鄂W695P1,LFV2B2F38R7501327,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:01,26.8767,100.18891
苏AW90W3,LFV2B2F39P7753102,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:14,40.16207,94.7664
鄂W389P2,LFV2B2F39R7500381,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:24,28.53106,99.58447
苏A3GW99,LFV2B2F39R7500901,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:27,26.48836,102.37324
苏AKA000,LFV2B2F39R7501241,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:23,36.88919,104.30179
苏AU65N0,LFV2B2F39R7501322,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:09,30.33006,104.46424
浙AW053V,LFV2B2F39R7505726,奥迪Q3（浙A牌）/自动/SUV/1.5T,2024/11/15 11:29,29.56112,119.41339
京KPU673,LFV2B2F39R7505743,奥迪Q3（京牌）/自动/SUV/1.5T,2024/11/15 11:29,39.61228,116.73513
苏AZ36W7,LFV2B2F39R7505824,奥迪Q3/自动/SUV/1.5T,2024/11/15 6:28,31.17943,121.24222
粤B319VZ,LFV2B2F39R7507184,奥迪Q3（深牌）/自动/SUV/1.5T,2024/11/15 11:22,23.0088,113.32613
苏AW50G3,LFV2B2F39R7507220,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:26,19.94285,110.4569
粤B0K19R,LFV2B2F39R7507251,奥迪Q3（深牌）/自动/SUV/1.5T,2024/11/15 9:52,22.66252,114.06222
苏AJ76V6,LFV2B2F3XP7753092,奥迪Q3/自动/SUV/1.5T,2024/11/14 22:02,24.43106,118.13701
苏AU29P7,LFV2B2F3XR7500356,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:15,45.68846,85.11909
苏A40J9X,LFV2B2F3XR7505802,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:59,28.25948,117.81451
沪GYX693,LFV2B2F3XR7507050,奥迪Q3（沪牌）/自动/SUV/1.5T,2024/11/15 11:29,31.21031,121.46824
鄂W392S0,LFV3A24K0R3052850,奥迪A6L/双离合/三厢/2.0T,2024/11/15 11:16,23.40825,111.23487
粤A3T2Y5,LFV3A24K0R3054582,奥迪A6L（粤A牌）/双离合/三厢/2.0T,2024/11/15 10:49,23.2821,116.29676
苏AJ35Y6,LFV3A24K0R3064268,奥迪A6L/双离合/三厢/2.0T,2024/11/15 10:36,22.7734,108.37469
苏A231JJ,LFV3A24K1R3064442,奥迪A6L/双离合/三厢/2.0T,2024/11/15 9:39,25.27963,110.29537
苏AT72Y2,LFV3A24K1R3066093,奥迪A6L/双离合/三厢/2.0T,2024/11/15 10:08,34.54491972,110.09143
苏AX33M8,LFV3A24K2R3065485,奥迪A6L/双离合/三厢/2.0T,2024/11/15 10:18,23.38628,116.7226
琼AG9C75,LFV3A24K3M3006034,奥迪A6L/自动/三厢/1.8T,2024/11/15 11:19,19.20214,110.53745
粤B9Y71N,LFV3A24K3R3055628,奥迪A6L（深牌）/双离合/三厢/2.0T,2024/11/15 10:27,22.66097,114.20354
京KQD381,LFV3A24K3R3068623,奥迪A6L（京牌）/双离合/三厢/2.0T,2024/11/15 11:29,32.33652,117.126
京JQA389,LFV3A24K3R3068900,奥迪A6L（京牌）/双离合/三厢/2.0T,2024/11/15 10:26,41.59251,120.4643
苏AY69B1,LFV3A24K4R3065326,奥迪A6L/双离合/三厢/2.0T,2024/11/15 11:30,29.76125,110.95017
苏AZ87J2,LFV3A24K4R3067030,奥迪A6L/双离合/三厢/2.0T,2024/11/15 11:15,29.45159,112.6929
沪DSS665,LFV3A24K4R3068033,奥迪A6L（沪牌）/双离合/三厢/2.0T,2024/11/15 11:28,36.92082,108.17172
粤B63NX7,LFV3A24K5R3057297,奥迪A6L（深牌）/双离合/三厢/2.0T,2024/11/15 10:50,22.66498,114.06399
粤B6NG63,LFV3A24K6R3058099,奥迪A6L（深牌）/双离合/三厢/2.0T,2024/11/15 11:08,34.40612,108.8608
京KQN398,LFV3A24K6R3067997,奥迪A6L（京牌）/双离合/三厢/2.0T,2024/11/15 11:29,39.04127,115.98614
苏AV66F0,LFV3A24K7R3051808,奥迪A6L/双离合/三厢/2.0T,2024/11/15 11:19,31.9705,118.7171
苏AV27H0,LFV3A24K7R3064753,奥迪A6L/双离合/三厢/2.0T,2024/11/15 10:12,31.28078,120.54628
京KBH445,LFV3A24K7R3068916,奥迪A6L（京牌）/双离合/三厢/2.0T,2024/11/15 11:26,39.95716,116.8026
京A3WC47,LFV3A24K8R3052207,奥迪A6L（京牌）/双离合/三厢/2.0T,2024/11/15 11:29,39.13264,117.19122
浙A10E63,LFV3A24K8R3054927,奥迪A6L（浙A牌）/双离合/三厢/2.0T,2024/11/15 11:29,31.82823,119.94114
浙A072FZ,LFV3A24K8R3056306,奥迪A6L（浙A牌）/双离合/三厢/2.0T,2024/11/15 11:23,30.16387,120.31331
苏A98Y75,LFV3A24K9R3066620,奥迪A6L/双离合/三厢/2.0T,2024/11/15 9:46,34.36294972,109.03317
苏AT0927,LFV3A24K9R3067248,奥迪A6L/双离合/三厢/2.0T,2024/11/15 11:28,30.04121,121.13465
粤BG0T29,LFV3A24KXR3053553,奥迪A6L（深牌）/双离合/三厢/2.0T,2024/11/15 11:30,22.66727,114.12875
粤BU03X8,LFV3A24KXR3055741,奥迪A6L（深牌）/双离合/三厢/2.0T,2024/11/15 10:29,22.63213,113.06702
苏A4YQ18,LFV3A24KXR3066643,奥迪A6L/双离合/三厢/2.0T,2024/11/15 10:15,20.00061,110.32438
苏A4YQ18,LFV3A24KXR3066643,奥迪A6L/双离合/三厢/2.0T,,,
津G7L511,LFV3A28W0R3621998,奥迪A4L/双离合/三厢/2.0T,2024/11/15 11:29,26.72405,118.2387
京JQR212,LFV3A28W0R3622343,奥迪A4L（京牌）/双离合/三厢/2.0T,2024/11/15 11:08,39.80196,116.11798
粤B8N25L,LFV3A28W1R3621850,奥迪A4L（深牌）/双离合/三厢/2.0T,2024/11/15 11:14,22.54129,114.07604
粤A72MT9,LFV3A28W1R3621881,奥迪A4L（粤A牌）/双离合/三厢/2.0T,2024/11/15 11:19,23.00988,113.13831
津G7J721,LFV3A28W1R3622478,奥迪A4L/双离合/三厢/2.0T,2024/11/15 10:31,30.8187,108.35122
京LAY604,LFV3A28W1R3622688,奥迪A4L（京牌）/双离合/三厢/2.0T,2024/11/15 10:36,37.35194,114.75297
苏AY97R6,LFV3A28W1R3623274,奥迪A4L/双离合/三厢/2.0T,2024/11/15 11:11,38.90825,115.46137
粤BJ7Z26,LFV3A28W1R3623517,奥迪A4L（深牌）/双离合/三厢/2.0T,2024/11/14 22:45,23.23365,116.45341
鄂W278R9,LFV3A28W2R3622716,奥迪A4L/双离合/三厢/2.0T,2024/11/15 11:02,22.80925,108.4415
京CQJ720,LFV3A28W2R3623588,奥迪A4L（京牌）/双离合/三厢/2.0T,2024/11/15 11:29,40.02986,116.46168
苏AX85A1,LFV3A28W2R3624420,奥迪A4L/双离合/三厢/2.0T,2024/11/15 11:07,22.62766,108.20052
鄂W766Q1,LFV3A28W3R3622790,奥迪A4L/双离合/三厢/2.0T,2024/11/15 11:15,23.3968,113.30139
沪GMS873,LFV3A28W3R3623003,奥迪A4L（沪牌）/双离合/三厢/2.0T,2024/11/15 10:31,31.38197,121.43618
沪GVB013,LFV3A28W3R3624281,奥迪A4L（沪牌）/双离合/三厢/2.0T,2024/11/15 10:34,31.17753,121.41393
粤A92N2C,LFV3A28W4R3623317,奥迪A4L（粤A牌）/双离合/三厢/2.0T,2024/11/15 10:30,22.83282,114.16959
粤B150YS,LFV3A28W4R3624354,奥迪A4L（深牌）/双离合/三厢/2.0T,2024/11/15 9:33,22.53331,114.11248
粤A1N5Z3,LFV3A28W4R3624595,奥迪A4L（粤A牌）/双离合/三厢/2.0T,2024/11/15 11:09,22.13833,113.33878
鄂W565Q9,LFV3A28W5R3622791,奥迪A4L/双离合/三厢/2.0T,2024/11/15 10:34,27.84942,99.70315
粤A1X20F,LFV3A28W5R3623391,奥迪A4L（粤A牌）/双离合/三厢/2.0T,2024/11/15 11:03,23.03983,113.31533
京HJJ501,LFV3A28W6R3622816,奥迪A4L（京牌）/双离合/三厢/2.0T,2024/11/15 11:29,40.0827,113.56697
粤B5W075,LFV3A28W6R3624484,奥迪A4L（深牌）/双离合/三厢/2.0T,2024/11/15 10:44,22.22561,110.53263
粤B92RY5,LFV3A28W7R3621948,奥迪A4L（深牌）/双离合/三厢/2.0T,2024/11/15 10:42,22.13247,113.46004
粤B7335Q,LFV3A28W7R3622503,奥迪A4L（深牌）/双离合/三厢/2.0T,2024/11/15 10:22,22.79616,115.2964
沪GJQ613,LFV3A28W7R3624204,奥迪A4L（沪牌）/双离合/三厢/2.0T,2024/11/15 10:24,31.40426,121.34641
沪EQP163,LFV3A28W8M3643367,奥迪A4L（沪牌）/自动/三厢/2.0T,2024/11/15 10:15,31.66272,121.15631
津C3D006,LFV3A28W8R3621876,奥迪A4L/双离合/三厢/2.0T,2024/11/15 11:25,40.00557,117.34985
津C78Y17,LFV3A28W8R3623370,奥迪A4L/双离合/三厢/2.0T,2024/11/15 9:44,38.98231,117.38339
苏AV75H9,LFV3A28W8R3624356,奥迪A4L/双离合/三厢/2.0T,2024/11/15 9:47,31.91109,118.75107
苏A591JK,LFV3A28W9R3623023,奥迪A4L/双离合/三厢/2.0T,2024/11/15 9:45,30.39451,104.56049
鄂W933R9,LFV3A28W9R3623314,奥迪A4L/双离合/三厢/2.0T,2024/11/15 11:28,25.59937,100.22667
浙A06C51,LFV3A28WXR3622611,奥迪A4L（浙A牌）/双离合/三厢/2.0T,2024/11/15 9:34,29.59695,119.0103
苏AY32L9,LFV3A28WXR3624309,奥迪A4L/双离合/三厢/2.0T,2024/11/15 10:21,38.95904,121.53733
鄂W526J3,LFV3B2FY0R3319788,奥迪Q5L/自动/SUV/2.0T,2024/11/15 10:40,39.97899,98.89145
粤B192VX,LFV3B2FY0R3324666,奥迪Q5L（深牌）/自动/SUV/2.0T,2024/11/15 11:29,22.56291,113.7477
鄂W072K3,LFV3B2FY1R3318620,奥迪Q5L（雪地胎）/自动/SUV/2.0T,2024/11/15 11:28,43.89932,87.48217
鄂W803R1,LFV3B2FY1R3320576,奥迪Q5L/自动/SUV/2.0T,2024/11/15 10:39,25.74444,100.23147
鄂W383Q2,LFV3B2FY1R3324028,奥迪Q5L（雪地胎）/自动/SUV/2.0T,2024/11/15 11:29,47.69922,86.86137
苏AX68M0,LFV3B2FY1R3327298,奥迪Q5L/自动/SUV/2.0T,2024/11/15 11:30,19.93855,110.16419
苏AX78X1,LFV3B2FY1R3329651,奥迪Q5L/自动/SUV/2.0T,2024/11/15 10:43,25.25201,110.31567
苏AZ005Y,LFV3B2FY1R3329715,奥迪Q5L/自动/SUV/2.0T,2024/11/15 10:05,26.40259,117.79125
苏AU86Q2,LFV3B2FY1R3329732,奥迪Q5L/自动/SUV/2.0T,2024/11/15 10:08,29.34472,117.23759
苏AZ27B3,LFV3B2FY1R3330668,奥迪Q5L/自动/SUV/2.0T,2024/11/15 10:33,22.82267,106.79197
苏AZ66G3,LFV3B2FY1R3331285,奥迪Q5L/自动/SUV/2.0T,2024/11/15 9:55,28.29632,118.481
苏A873JA,LFV3B2FY1R3331416,奥迪Q5L/自动/SUV/2.0T,2024/11/15 11:25,27.10827,100.25193
鄂W078R8,LFV3B2FY2R3317931,奥迪Q5L/自动/SUV/2.0T,2024/11/15 9:56,39.72137,122.29461
京LPC603,LFV3B2FY2R3318500,奥迪Q5L（京牌）/自动/SUV/2.0T,2024/11/15 10:05,39.93214,116.46689
鄂W923J7,LFV3B2FY3R3324533,奥迪Q5L/自动/SUV/2.0T,2024/11/15 11:09,34.56968,112.46834
苏AV8Z31,LFV3B2FY3R3328971,奥迪Q5L/自动/SUV/2.0T,2024/11/15 11:04,19.03955,109.83364
粤A03M1Z,LFV3B2FY3R3330123,奥迪Q5L（粤A牌）/自动/SUV/2.0T,2024/11/15 11:30,22.54554,113.55472
粤A80N9G,LFV3B2FY3R3330302,奥迪Q5L（粤A牌）/自动/SUV/2.0T,2024/11/15 11:15,22.92215,113.07615
粤A63N0N,LFV3B2FY3R3330395,奥迪Q5L（粤A牌）/自动/SUV/2.0T,2024/11/15 11:29,23.03301,113.10834
粤A01M0D,LFV3B2FY3R3331370,奥迪Q5L（粤A牌）/自动/SUV/2.0T,2024/11/15 11:22,24.58587,112.29594
粤A1Z5Q6,LFV3B2FY3R3333412,奥迪Q5L（粤A牌）/自动/SUV/2.0T,2024/11/15 9:49,23.15284,113.63063
粤B09GN7,LFV3B2FY3R3333491,奥迪Q5L（深牌）/自动/SUV/2.0T,2024/11/15 10:49,22.79466,113.16778
粤B9T06H,LFV3B2FY3R3334379,奥迪Q5L（深牌）/自动/SUV/2.0T,2024/11/15 9:56,22.60506,113.80978
鄂W769P0,LFV3B2FY4R3319647,奥迪Q5L/自动/SUV/2.0T,2024/11/15 11:28,38.45978,106.27683
京JQC732,LFV3B2FY4R3327859,奥迪Q5L（京牌）/自动/SUV/2.0T,2024/11/15 11:16,39.93051,116.35224
苏AT96N2,LFV3B2FY4R3329353,奥迪Q5L/自动/SUV/2.0T,2024/11/15 9:55,40.02552,119.74988
苏A0P72B,LFV3B2FY4R3329854,奥迪Q5L/自动/SUV/2.0T,2024/11/15 10:39,39.86337,111.23085
苏AW81W3,LFV3B2FY4R3330048,奥迪Q5L/自动/SUV/2.0T,2024/11/15 10:43,34.26688972,108.95291
苏AZ50U6,LFV3B2FY4R3331359,奥迪Q5L/自动/SUV/2.0T,2024/11/15 10:41,40.09177,113.29129
苏AW75H1,LFV3B2FY4R3333340,奥迪Q5L/自动/SUV/2.0T,2024/11/15 11:25,24.7597,118.60968
苏AU18U2,LFV3B2FY4R3333774,奥迪Q5L/自动/SUV/2.0T,2024/11/15 11:26,34.22088972,107.66346
鄂W992P0,LFV3B2FY5R3318328,奥迪Q5L/自动/SUV/2.0T,2024/11/15 9:43,36.39304,106.08186
京CAA943,LFV3B2FY5R3319155,奥迪Q5L（京牌）/自动/SUV/2.0T,2024/11/15 10:01,39.94135,116.34653
鄂W98A40,LFV3B2FY5R3319351,奥迪Q5L/自动/SUV/2.0T,2024/11/15 9:51,31.41682,102.98673
鄂W793Q5,LFV3B2FY5R3319477,奥迪Q5L/自动/SUV/2.0T,2024/11/15 11:30,25.03551,103.26565
鄂W761P9,LFV3B2FY5R3320113,奥迪Q5L/自动/SUV/2.0T,2024/11/15 11:29,27.9586,99.58902
鄂W295J0,LFV3B2FY5R3320211,奥迪Q5L/自动/SUV/2.0T,2024/11/15 11:30,39.61046,75.946
沪GLK198,LFV3B2FY5R3327191,奥迪Q5L（沪牌）/自动/SUV/2.0T,2024/11/15 9:53,31.30935,121.60392
浙A99F05,LFV3B2FY5R3329183,奥迪Q5L（浙A牌）/自动/SUV/2.0T,2024/11/15 10:34,30.37917,120.02565
苏AU90R1,LFV3B2FY5R3330916,奥迪Q5L/自动/SUV/2.0T,2024/11/15 11:23,26.49758,112.52765
苏AT1533,LFV3B2FY5R3330947,奥迪Q5L/自动/SUV/2.0T,2024/11/15 10:24,32.07764,112.75597
苏AZ621X,LFV3B2FY5R3331466,奥迪Q5L/自动/SUV/2.0T,2024/11/15 11:24,28.44477,98.91391
鄂W069T1,LFV3B2FY6R3318841,奥迪Q5L/自动/SUV/2.0T,2024/11/15 9:52,30.98076,102.76572
鄂W857P8,LFV3B2FY6R3319598,奥迪Q5L/自动/SUV/2.0T,2024/11/15 10:02,25.292,107.69438
京N5RU30,LFV3B2FY6R3324591,奥迪Q5L（京牌）/自动/SUV/2.0T,2024/11/15 11:04,40.97668,115.30133
鄂W597P6,LFV3B2FY6R3324722,奥迪Q5L/自动/SUV/2.0T,2024/11/15 11:18,36.88915,104.30185
