车牌,车架,车型,定位时间,经度,纬度,位置描述
鄂W587N0,1C4HJXFNXNW166638,Jeep新牧马人 罗宾汉/自动/SUV/2.0T,2024/11/15 11:17,101.743480,39.526620,内蒙古自治区阿拉善盟阿拉善右旗巴丹吉林镇哈日根图努如东南约764米
鄂A4790E,1C4HJXFNXNW167983,Jeep新牧马人 罗宾汉/自动/SUV/2.0T,2024/11/15 11:29,123.380120,50.562800,内蒙古自治区呼伦贝尔市鄂伦春自治旗吉文镇
鄂A2U34L,1C4HJXFNXNW202456,Jeep新牧马人 罗宾汉/自动/SUV/2.0T,2024/11/15 11:29,106.563190,29.670340,重庆市渝北区鸳鸯街道大雅·云居山B区停车库
川AF20454,1C4JJXP62NW188321,Jeep新牧马人（混动）/自动/SUV/2.0T,2024/11/15 11:30,101.404520,30.645130,四川省甘孜藏族自治州道孚县8美镇大湾坨东南约258米
9935,LFMGAD423RS009935,丰田新普拉多（京牌）（新车）/自动/SUV/2.4T,2024/11/15 11:23,116.315800,39.896950,北京市海淀区羊坊店街道莲花池东路31号
新A0L255,LFMGAD425RS009631,丰田新普拉多（新车）/自动/SUV/2.4T,2024/11/15 10:53,80.265470,41.158750,新疆维吾尔自治区阿克苏地区阿克苏市多浪街道水韵路与南大街交汇处
11735,LFMGAD425RS011735,丰田新普拉多（新车）/自动/SUV/2.4T,2024/11/15 11:29,106.571120,29.644720,重庆市渝北区鸳鸯街道重庆星驰汽车经纪服务有限公司
苏A320JE,LFV2B2F30P7753022,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:26,99.179650,25.156100,云南省保山市隆阳区永昌街道中国保交行·保山客运北站·旅客集散中心
苏AR7957,LFV2B2F30P7753182,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:23,105.008510,37.456450,宁夏回族自治区中卫市沙坡头区迎水桥镇沙坡头旅游区黄河区-大巴车停车场
粤BL8D22,LFV2B2F30R7500933,奥迪Q3（深牌）/自动/SUV/1.5T,2024/11/15 11:29,118.291060,24.680250,福建省厦门市翔安区内厝镇内厝工业路中桥西北约295米
苏AY37S6,LFV2B2F30R7501340,奥迪Q3/自动/SUV/1.5T,2024/11/15 9:40,103.571560,36.262030,甘肃省兰州市永登县树屏镇缪家湾东北约345米
苏A5WG16,LFV2B2F30R7501368,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:18,105.680410,38.837870,内蒙古自治区阿拉善盟阿拉善左旗巴彦浩特镇东关街1号阿拉善大酒店2楼
京N9NR09,LFV2B2F30R7505694,奥迪Q3（京牌）/自动/SUV/1.5T,2024/11/15 9:43,116.456670,39.882450,北京市朝阳区劲松街道劲松大厦A座
苏AV05G6,LFV2B2F30R7505758,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:20,109.850300,18.407050,海南省陵水黎族自治县英州镇蔚蓝海岸湖畔商业街14号
苏A35F71,LFV2B2F30R7505792,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:25,110.266520,31.450700,湖北省神农架林区神农架林区红坪镇神农顶
苏AJ53V8,LFV2B2F30R7505842,奥迪Q3/自动/SUV/1.5T,2024/11/15 9:47,109.523580,18.224600,海南省三亚市吉阳区榆亚路114
京Q38ZU1,LFV2B2F30R7506828,奥迪Q3（京牌）/自动/SUV/1.5T,2024/11/15 11:21,116.456540,39.885270,北京市朝阳区劲松街道东三环南路甲52号
苏AX90V7,LFV2B2F30R7507204,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:16,109.153250,21.407200,广西壮族自治区北海市银海区北海银滩碧园开元名都度假村东北约54米
苏AA0979,LFV2B2F30R7507221,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:31,113.532220,23.859390,广东省清远市佛冈县石角镇塘寮西北约113米
粤B3X855,LFV2B2F30R7507252,奥迪Q3（深牌）/自动/SUV/1.5T,2024/11/15 11:29,113.885220,22.554890,广东省深圳市宝安区新安街道创业一路1002东北约59米
鄂W057J0,LFV2B2F31P7753028,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:14,111.754860,29.842280,湖南省常德市澧县盐井镇中心小学西北约174米
苏A49W6N,LFV2B2F31R7500682,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:29,101.746170,36.689070,青海省西宁市城北区生物科技产业园经二路36
苏AY75A2,LFV2B2F31R7501492,奥迪Q3/自动/SUV/1.5T,2024/11/15 9:32,76.055140,39.460380,新疆维吾尔自治区喀什地区喀什市浩罕乡新疆火炬燃气股份有限公司东北约98米
苏AW01G7,LFV2B2F31R7507213,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:09,110.458050,19.944730,海南省海口市美兰区演丰镇民航海南空中交通管理分局西北约92米
苏A012JG,LFV2B2F31R7507230,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:38,109.948970,18.417280,海南省陵水黎族自治县新村镇蓝湾绿城威斯汀度假酒店特斯拉目的地充电站
苏AF67C1,LFV2B2F32P7753023,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:30,106.212900,38.479560,宁夏回族自治区银川市金凤区北京中路街道新昌西路
苏A183JX,LFV2B2F32P7753071,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:36,101.793090,36.590490,青海省西宁市城东区大众街社区德令哈路出口(建国路立交出口西北向)东约54米
苏AX77W1,LFV2B2F32R7500352,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:20,104.044480,30.647020,四川省成都市武侯区浆洗街街道成都武侯祠博物馆西区南门地下停车场出入口
苏A033JK,LFV2B2F32R7501047,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:16,108.868030,34.174910,陕西省西安市长安区郭杜街道紫薇田园都市F区蓬莱仙境南门
苏AR225D,LFV2B2F32R7501470,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:01,104.160360,36.553580,甘肃省白银市白银区工农路街道白银福门华府世家西南约81米
浙A670UT,LFV2B2F32R7505700,奥迪Q3（浙A牌）/自动/SUV/1.5T,2024/11/15 9:30,120.109940,30.146990,浙江省杭州市西湖区双浦镇麦岭沙社区枫桦东路336号水韵枫桦公寓8幢
苏AX50H3,LFV2B2F32R7505728,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:29,116.432370,24.304890,广东省梅州市大埔县银江镇下深坑1号大桥东北约109米
苏A55S17,LFV2B2F33R7501042,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:28,115.378270,22.993560,广东省汕尾市海丰县城东镇协祥盛染织有限公司
苏AX66R5,LFV2B2F33R7501350,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:13,101.828140,36.577450,青海省西宁市城东区东川工业园金汇路32号
苏AX92C7,LFV2B2F33R7505818,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:29,94.910870,37.383300,青海省海西蒙古族藏族自治州大柴旦行政委员会柴旦镇G315西南约840米
苏AZ69V2,LFV2B2F33R7506824,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:20,116.727730,23.611970,广东省潮州市湘桥区官塘镇乐顺购物官塘店
苏AZ07T2,LFV2B2F33R7507004,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:54,112.606830,37.763810,山西省太原市小店区龙城街道山西中方世纪工贸有限公司西南约185米
苏AKB131,LFV2B2F33R7507021,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:28,115.847370,28.613810,江西省南昌市南昌县东新乡测绘地理信息局西南(芳湖路)西北约144米
苏AW79H7,LFV2B2F33R7507228,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:23,109.479800,29.987020,湖北省恩施土家族苗族自治州宣恩县珠山镇凌云路41
苏AW00K7,LFV2B2F33R7507262,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:07,94.766380,40.162340,甘肃省酒泉市敦煌市莫高镇自行车租赁点
苏AX69E1,LFV2B2F33R7507276,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:22,121.455190,31.221310,上海市黄浦区瑞金二路街道茂名南路58号
苏A0XA26,LFV2B2F34P7752987,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:28,119.451180,30.637580,浙江省湖州市安吉县竹翠亭东南约131米
苏AX97U9,LFV2B2F34R7500479,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:26,109.120290,21.457340,广西壮族自治区北海市海城区驿马街道北京路138号万汇·海珍城西北约71米
苏AY92F3,LFV2B2F34R7500661,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:57,104.967100,37.509000,宁夏回族自治区中卫市沙坡头区迎水桥镇
苏A29G6L,LFV2B2F34R7501048,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:57,75.994710,39.466570,新疆维吾尔自治区喀什地区喀什市恰萨街道喀什客运站北侧东北约51米
苏A0PX78,LFV2B2F34R7501244,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:27,99.851430,26.322700,云南省大理白族自治州剑川县沙溪镇方合东北约66米
苏A752JV,LFV2B2F34R7501373,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:29,98.920860,37.210710,青海省海西蒙古族藏族自治州天峻县新源镇关角东南约97米
苏AW76V7,LFV2B2F35P7753047,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:28,122.146820,37.428380,山东省威海市环翠区皇冠街道乐天世纪城1-15
苏A783JD,LFV2B2F35P7753114,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:23,75.206730,37.774540,新疆维吾尔自治区喀什地区塔什库尔干塔吉克自治县塔什库尔干乡熟顿东南约278米
苏AV57H0,LFV2B2F35P7753159,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:15,98.497540,39.728160,甘肃省酒泉市肃州区新城街道味到新疆
苏AX05P9,LFV2B2F35R7500801,奥迪Q3/自动/SUV/1.5T,2024/11/15 9:50,76.026660,39.452620,新疆维吾尔自治区喀什地区喀什市多来特巴格乡新城南路99东北约59米
苏A76C31,LFV2B2F35R7501351,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:29,118.685530,28.830560,浙江省衢州市江山市上余镇C026东北约198米
苏AD92T5,LFV2B2F35R7501379,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:29,116.111780,39.310280,河北省保定市高碑店市辛立庄镇
苏A6KN25,LFV2B2F35R7501396,奥迪Q3/自动/SUV/1.5T,2024/10/31 12:31,101.589140,29.920690,四川省甘孜藏族自治州康定市呷巴乡铁索村村委会东北约206米
苏AV35L1,LFV2B2F35R7507019,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:36,113.520410,22.172850,广东省珠海市香洲区湾仔街道银湾路1663号
沪GHS030,LFV2B2F35R7507182,奥迪Q3（沪牌）/自动/SUV/1.5T,2024/11/15 11:20,121.506850,31.242750,上海市浦东新区陆家嘴街道银城路66号尚悦湾广场
鄂W981R9,LFV2B2F36P7753087,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:30,100.807270,30.021330,四川省甘孜藏族自治州理塘县呷洼乡
苏AW35R6,LFV2B2F36R7500435,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:10,104.051090,30.589650,四川省成都市武侯区石羊场街道仁和春天国际广场停车场成汉南路出口
津G7M009,LFV2B2F36R7505781,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:29,117.275340,39.141930,天津市河东区东新街道
京KQV838,LFV2B2F36R7507076,奥迪Q3（京牌）/自动/SUV/1.5T,2024/11/15 11:29,116.016500,39.899140,北京市门头沟区潭柘寺镇潭柘寺浩梦缘农家院西北约447米
苏A966JT,LFV2B2F36R7507224,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:30,106.974900,27.807910,贵州省遵义市汇川区高坪街道董家沟西南约211米
苏AW17R0,LFV2B2F37R7501156,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:09,99.904620,27.804000,云南省迪庆藏族自治州香格里拉市建塘镇普达措国家公园旁
苏AD7185,LFV2B2F37R7501240,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:30,117.219540,29.296660,江西省景德镇市珠山区里村街道报刊亭
苏AV68C7,LFV2B2F38P7753110,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:30,105.155120,37.768370,内蒙古自治区阿拉善盟阿拉善左旗嘉尔嘎勒赛汉镇
苏AU31R9,LFV2B2F38R7501201,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:28,109.120320,21.457360,广西壮族自治区北海市海城区驿马街道北京路138号万汇·海珍城西北约71米
鄂W695P1,LFV2B2F38R7501327,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:01,100.188910,26.876700,云南省丽江市古城区束河街道丽江松赞林卡酒店5栋
苏AW90W3,LFV2B2F39P7753102,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:14,94.766400,40.162070,甘肃省酒泉市敦煌市莫高镇公厕西北约55米
鄂W389P2,LFV2B2F39R7500381,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:24,99.584470,28.531060,云南省迪庆藏族自治州香格里拉市东旺乡
苏A3GW99,LFV2B2F39R7500901,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:27,102.373240,26.488360,四川省凉山彝族自治州会理市富乐镇老深沟西北约558米
苏AKA000,LFV2B2F39R7501241,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:23,104.301790,36.889190,甘肃省白银市景泰县中泉镇黄河石林纪念品销售博览中心西南约122米
苏AU65N0,LFV2B2F39R7501322,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:09,104.464240,30.330060,四川省成都市简阳市石板凳街道刘家大柏林西南约269米
浙AW053V,LFV2B2F39R7505726,奥迪Q3（浙A牌）/自动/SUV/1.5T,2024/11/15 11:29,119.413390,29.561120,浙江省杭州市建德市杨村桥镇绪塘村午坞6号西北约92米
京KPU673,LFV2B2F39R7505743,奥迪Q3（京牌）/自动/SUV/1.5T,2024/11/15 11:29,116.735130,39.612280,河北省廊坊市广阳区耀华道街道北京北大方正软件技术学院附近东南约72米
苏AZ36W7,LFV2B2F39R7505824,奥迪Q3/自动/SUV/1.5T,2024/11/15 6:28,121.242220,31.179430,上海市青浦区徐泾镇徐乐北路
粤B319VZ,LFV2B2F39R7507184,奥迪Q3（深牌）/自动/SUV/1.5T,2024/11/15 11:22,113.326130,23.008800,广东省广州市番禺区大石街道孔雀展区
苏AW50G3,LFV2B2F39R7507220,奥迪Q3/自动/SUV/1.5T,2024/11/15 11:26,110.456900,19.942850,海南省海口市美兰区演丰镇航安一街5
粤B0K19R,LFV2B2F39R7507251,奥迪Q3（深牌）/自动/SUV/1.5T,2024/11/15 9:52,114.062220,22.662520,广东省深圳市龙岗区坂田街道坂雪岗大道与居里夫人大道交汇处
苏AJ76V6,LFV2B2F3XP7753092,奥迪Q3/自动/SUV/1.5T,2024/11/14 22:02,118.137010,24.431060,福建省厦门市思明区滨海街道黄厝溪头下66号
苏AU29P7,LFV2B2F3XR7500356,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:15,85.119090,45.688460,新疆维吾尔自治区克拉玛依市白碱滩区中兴路街道池东路
苏A40J9X,LFV2B2F3XR7505802,奥迪Q3/自动/SUV/1.5T,2024/11/15 10:59,117.814510,28.259480,江西省上饶市铅山县鹅湖镇鹅湖书院-售票处
沪GYX693,LFV2B2F3XR7507050,奥迪Q3（沪牌）/自动/SUV/1.5T,2024/11/15 11:29,121.468240,31.210310,上海市黄浦区打浦桥街道徐家汇路555号
鄂W392S0,LFV3A24K0R3052850,奥迪A6L/双离合/三厢/2.0T,2024/11/15 11:16,111.234870,23.408250,广西壮族自治区梧州市龙圩区龙圩镇停车场
粤A3T2Y5,LFV3A24K0R3054582,奥迪A6L（粤A牌）/双离合/三厢/2.0T,2024/11/15 10:49,116.296760,23.282100,广东省揭阳市普宁市占陇镇万家福购物西南约59米
苏AJ35Y6,LFV3A24K0R3064268,奥迪A6L/双离合/三厢/2.0T,2024/11/15 10:36,108.374690,22.773400,广西壮族自治区南宁市良庆区良庆镇云星·钱隆首府102
苏A231JJ,LFV3A24K1R3064442,奥迪A6L/双离合/三厢/2.0T,2024/11/15 9:39,110.295370,25.279630,广西壮族自治区桂林市秀峰区秀峰街道木子美甲美睫
苏AT72Y2,LFV3A24K1R3066093,奥迪A6L/双离合/三厢/2.0T,2024/11/15 10:08,110.091430,34.544920,陕西省渭南市华阴市岳庙街道华山清心温泉酒店西北约99米
苏AX33M8,LFV3A24K2R3065485,奥迪A6L/双离合/三厢/2.0T,2024/11/15 10:18,116.722600,23.386280,广东省汕头市龙湖区龙祥街道人民法院
琼AG9C75,LFV3A24K3M3006034,奥迪A6L/自动/三厢/1.8T,2024/11/15 11:19,110.537450,19.202140,海南省琼海市潭门镇军埇西南约349米
粤B9Y71N,LFV3A24K3R3055628,奥迪A6L（深牌）/双离合/三厢/2.0T,2024/11/15 10:27,114.203540,22.660970,广东省深圳市龙岗区园山街道广达路68
京KQD381,LFV3A24K3R3068623,奥迪A6L（京牌）/双离合/三厢/2.0T,2024/11/15 11:29,117.126000,32.336520,安徽省合肥市长丰县庄墓镇蚌合高速东北约359米
京JQA389,LFV3A24K3R3068900,奥迪A6L（京牌）/双离合/三厢/2.0T,2024/11/15 10:26,120.464300,41.592510,辽宁省朝阳市双塔区凌河街道朝阳大街一段146号
苏AY69B1,LFV3A24K4R3065326,奥迪A6L/双离合/三厢/2.0T,2024/11/15 11:30,110.950170,29.761250,湖南省常德市石门县磨市镇黄龙峪大桥
苏AZ87J2,LFV3A24K4R3067030,奥迪A6L/双离合/三厢/2.0T,2024/11/15 11:15,112.692900,29.451590,湖南省岳阳市君山区钱粮湖镇衣世界
沪DSS665,LFV3A24K4R3068033,奥迪A6L（沪牌）/双离合/三厢/2.0T,2024/11/15 11:28,108.171720,36.920820,陕西省延安市吴起县吴起街道德邦延安吴起县营业部
粤B63NX7,LFV3A24K5R3057297,奥迪A6L（深牌）/双离合/三厢/2.0T,2024/11/15 10:50,114.063990,22.664980,广东省深圳市龙岗区坂田街道天安云谷产业园(2)期(03-01地块)地下停车场西北约81米
粤B6NG63,LFV3A24K6R3058099,奥迪A6L（深牌）/双离合/三厢/2.0T,2024/11/15 11:08,108.860800,34.406120,陕西省咸阳市渭城区秦汉新城唐风博物馆东南约149米
京KQN398,LFV3A24K6R3067997,奥迪A6L（京牌）/双离合/三厢/2.0T,2024/11/15 11:29,115.986140,39.041270,河北省保定市容城县大河镇崔庄西北约669米
苏AV66F0,LFV3A24K7R3051808,奥迪A6L/双离合/三厢/2.0T,2024/11/15 11:19,118.717100,31.970500,江苏省南京市建邺区1嗨油坊桥地铁站店
苏AV27H0,LFV3A24K7R3064753,奥迪A6L/双离合/三厢/2.0T,2024/11/15 10:12,120.546280,31.280780,江苏省苏州市虎丘区雅瑞口腔
京KBH445,LFV3A24K7R3068916,奥迪A6L（京牌）/双离合/三厢/2.0T,2024/11/15 11:26,116.802600,39.957160,河北省廊坊市三河市燕郊经济技术开发区小张庄路北100号
京A3WC47,LFV3A24K8R3052207,奥迪A6L（京牌）/双离合/三厢/2.0T,2024/11/15 11:29,117.191220,39.132640,天津市河北区光复道街道民族路56号
浙A10E63,LFV3A24K8R3054927,奥迪A6L（浙A牌）/双离合/三厢/2.0T,2024/11/15 11:29,119.941140,31.828230,江苏省常州市新北区三井街道长江中路16号
浙A072FZ,LFV3A24K8R3056306,奥迪A6L（浙A牌）/双离合/三厢/2.0T,2024/11/15 11:23,120.313310,30.163870,浙江省杭州市萧山区博汉烟酒
苏A98Y75,LFV3A24K9R3066620,奥迪A6L/双离合/三厢/2.0T,2024/11/15 9:46,109.033170,34.362950,陕西省西安市灞桥区新筑街道1668时代广场
苏AT0927,LFV3A24K9R3067248,奥迪A6L/双离合/三厢/2.0T,2024/11/15 11:28,121.134650,30.041210,浙江省宁波市余姚市阳明街道北滨江路300号
粤BG0T29,LFV3A24KXR3053553,奥迪A6L（深牌）/双离合/三厢/2.0T,2024/11/15 11:30,114.128750,22.667270,广东省深圳市龙岗区平湖街道华利中电子厂
粤BU03X8,LFV3A24KXR3055741,奥迪A6L（深牌）/双离合/三厢/2.0T,2024/11/15 10:29,113.067020,22.632130,广东省江门市蓬江区环市街道北环路天沙河西岸华茵桂语西南约120米
苏A4YQ18,LFV3A24KXR3066643,奥迪A6L/双离合/三厢/2.0T,2024/11/15 10:15,110.324380,20.000610,海南省海口市龙华区金宇街道办豪苑路16号维也纳国际酒店海口南站店
苏A4YQ18,LFV3A24KXR3066643,奥迪A6L/双离合/三厢/2.0T,,0.000000,0.000000,全球
津G7L511,LFV3A28W0R3621998,奥迪A4L/双离合/三厢/2.0T,2024/11/15 11:29,118.238700,26.724050,福建省南平市延平区大横镇天富生物科技发展公司
京JQR212,LFV3A28W0R3622343,奥迪A4L（京牌）/双离合/三厢/2.0T,2024/11/15 11:08,116.117980,39.801960,北京市丰台区王佐镇静怡园西北约167米
粤B8N25L,LFV3A28W1R3621850,奥迪A4L（深牌）/双离合/三厢/2.0T,2024/11/15 11:14,114.076040,22.541290,广东省深圳市福田区福田街道报刊亭
粤A72MT9,LFV3A28W1R3621881,奥迪A4L（粤A牌）/双离合/三厢/2.0T,2024/11/15 11:19,113.138310,23.009880,广东省佛山市南海区桂城街道怡翠宏璟底商025
津G7J721,LFV3A28W1R3622478,奥迪A4L/双离合/三厢/2.0T,2024/11/15 10:31,108.351220,30.818700,重庆市万州区太白街道红光景苑
京LAY604,LFV3A28W1R3622688,奥迪A4L（京牌）/双离合/三厢/2.0T,2024/11/15 10:36,114.752970,37.351940,河北省邢台市隆尧县隆尧镇王子公主童画摄影童画原创旗舰店
苏AY97R6,LFV3A28W1R3623274,奥迪A4L/双离合/三厢/2.0T,2024/11/15 11:11,115.461370,38.908250,河北省保定市竞秀区保定国家高新区停车场
粤BJ7Z26,LFV3A28W1R3623517,奥迪A4L（深牌）/双离合/三厢/2.0T,2024/11/14 22:45,116.453410,23.233650,广东省汕头市潮南区胪岗镇山斗子西南约286米
鄂W278R9,LFV3A28W2R3622716,奥迪A4L/双离合/三厢/2.0T,2024/11/15 11:02,108.441500,22.809250,广西壮族自治区南宁市青秀区长塘镇玉林虾搞
京CQJ720,LFV3A28W2R3623588,奥迪A4L（京牌）/双离合/三厢/2.0T,2024/11/15 11:29,116.461680,40.029860,北京市朝阳区来广营乡来广营桥东北约182米
苏AX85A1,LFV3A28W2R3624420,奥迪A4L/双离合/三厢/2.0T,2024/11/15 11:07,108.200520,22.627660,广西壮族自治区南宁市江南区吴圩镇那花中桥西南约59米
